date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:42	96/96	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Sep%202026%2015:27:39%20GMT	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/robots.txt		(from )
18:58:42	51434/51434	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Sep%202026%2015:27:39%20GMT	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/index.html	(from )
18:58:43	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Sep%202026%2015:27:40%20GMT	http://fonts.googleapis.com/	D:/My%20Web%20Sites%20Nouri/nouri/fonts.googleapis.com/index.html	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:44	293102/293102	---MCZ	200	added ('OK')	text/css	etag:W/%226aa7c562-478ee%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/bootstrap.css?ver=7.1.1	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/bootstrap03db.css	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:44	848/848	---MC-	200	added ('OK')	application/rss+xml	etag:%2208438e58f58a6a21e359e077e8b6b1f2%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/comments/feed/	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/comments/feed/index.html	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:45	5859/5859	---MC-	200	added ('OK')	application/rss+xml	etag:%2208438e58f58a6a21e359e077e8b6b1f2%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/feed/	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/feed/index.html	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:46	36432/36432	---MCZ	200	added ('OK')	text/css	etag:W/%226aa7c562-8e50%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/style-rtl.css?ver=7.1.1	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/style-rtl03db.css	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:48	497761/497761	---M--	200	added ('OK')	image/png	etag:%226aa7c562-79861%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/images/sliderimage.png	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/images/sliderimage.png	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:49	13457/13457	---MCZ	200	added ('OK')	text/css	etag:W/%226aa7c562-3491%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/blocks.css?ver=1.0	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/blocks5152.css	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:50	120589/120589	---MCZ	200	added ('OK')	text/css	etag:W/%226aa7c562-1d70d%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/fontawesome-all.css?ver=7.1.1	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/fontawesome-all03db.css	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
18:58:52	70661/70661	---MCZ	200	added ('OK')	text/css	etag:W/%226aa7c562-11405%22	https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/animate.css?ver=7.1.1	D:/My%20Web%20Sites%20Nouri/nouri/madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/wp-content/themes/author-writer/assets/css/animate03db.css	(from https://madid-e2etc8btdcgwg3e8.malaysiawest-01.azurewebsites.net/)
